name,gender
Andrzej Żuławski,m
Eugene Burdick,m
Ricky Strauss,m
Robert Folk,m
Brian Smrz,m
Risa Bramon Garcia,f
Hans Zimmer,m
Milena Canonero,f
Kathy Driscoll,f
Jason Netter,m
Dan Webster,m
Tom Williams,m
Vincenzo Tomassi,m
John Farrow,m
Diana Phillips,f
Karl Herrmann,m
Diana Dill,f
Alan Jones,m
Affonso Beato,m
Arlan Jay Vetter,m
Jean-Marie Poiré,m
Douglas Milsome,m
Isao Takahata,m
John Lasseter,m
Amir Mokri,m
Michael Trent,m
Michael Sucsy,m
Salvatore Ficarra,m
John Wagner,m
Christopher McQuarrie,m
Sean Connery,m
Kurt Neumann,m
Joseph Bishara,m
Ed Decter,m
Brian Katkin,m
Cliff Fleming,m
Brian Smrz,m
Mark Ryan,m
John Swihart,m
Dawn Steel,f
Todd Haynes,m
Stephen Merchant,m
Adam Greenberg,m
Priscilla Nedd-Friendly,f
Rob Bottin,m
John Williams,m
Karyn Kusama,f
Alan Fine,m
Dean Devlin,m
RZA,m
Francis Ford Coppola,m
Richard F. Mays,m
Brian Henson,m
Ron Price,m
Claudia Sarbu,f
Grégory Levasseur,m
Bob Ziembicki,m
Heike Brandstatter,f
Cliff Lanning,m
Tim Firth,m
Joe I. Tompkins,m
Samuel Z. Arkoff,m
Mica Levi,f
Sylvester Stallone,m
Denise Di Novi,f
Ennio Morricone,m
Robert Pulcini,m
Daniel Lupi,m
Paul Hirsch,m
Mona May,f
Tom Clancy,m
Dean Zimmerman,m
Nadia Guglieri,f
Harry Gregson-Williams,m
Andrew Panay,m
Christopher Hampton,m
Daniel P. Hanley,m
Matthew Hannam,m
Cindy Evans,f
Martin Scorsese,m
George W. Davis,m
Edith Dupré LeBlanc,f
Craig Pettigrew,m
Ingmar Bergman,m
Gil Junger,m
Raymond Chow,m
Caleb Deschanel,m
Roberto Lopez,m
Joel Coen,m
Mark Kaufman,m
Neil Farrell,m
Elmer Bernstein,m
Fatih Akin,m
Peter Jackson,m
Peter Deming,m
Kim Davis-Wagner,f
Michał Leszczyłowski,m
Steven Gary Banks,m
Fiona Trayler,f
Antonin Svoboda,m
Andrzej Bartkowiak,m
Brian W. Cook,m
Dick Clement,m
Shauna Cross,f
Dawn Snyder,f
Peter Block,m
Anthony B. Richmond,m
Alfred Hitchcock,m
Brian Desmond Hurst,m
Dean Semler,m
Karey Kirkpatrick,m
Vikramaditya Motwane,m
Todd Grace,m
Jina Jay,f
Mark Taylor,m
Cheryl Cutler,f
Michael W. Watkins,m
