title,date,actors,staff,genres
Le Trou,1960-03-18,"[Michel Constantin, Philippe Leroy, Raymond Meunier, Marc Michel, André Bervil, Jean Luisi, Jean Becker, Paul Préboist, Catherine Spaak, Dominique Zardi, Jean Minisini]","[Jacques Becker, Serge Silberman, Jacques Becker, Jacques Becker, Jean Becker]","[Crime, Drama, Thriller]"
Inception,2010-07-14,"[Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy, Ken Watanabe, Cillian Murphy, Marion Cotillard, Michael Caine, Dileep Rao, Tom Berenger, Pete Postlethwaite, Lukas Haas, Talulah Riley, Taylor Geare, Claire Geare, Johnathan Geare, Yuji Okumoto, Earl Cameron, Ryan Hayward]","[Christopher Nolan, Emma Thomas, Wally Pfister, Christopher Nolan, Christopher Nolan, Brad Ricker, Dean Wolcott, Larry Dias, Hans Zimmer]","[Action, Thriller, Science Fiction, Mystery, Adventure]"
The Silence of the Lambs,1991-02-01,"[Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine, Anthony Heald, Brooke Smith, Kasi Lemmons, Frankie Faison, Tracey Walter, Charles Napier, Danny Darst, Dan Butler, Paul Lazar, Ron Vawter, Roger Corman]","[Jonathan Demme, Tak Fujimoto, Craig McKay, Ted Tally, Kristi Zea, Tim Galvin, Thomas Harris, Howard Feuer, Kenneth Utt, Edward Saxon, Ronald M. Bozman, Gary Goetzman, Howard Shore, Sharon Boyle]","[Crime, Drama, Thriller]"
Big Deal on Madonna Street,1958-06-06,"[Vittorio Gassman, Marcello Mastroianni, Renato Salvatori, Totò, Claudia Cardinale, Tiberio Murgia, Memmo Carotenuto, Carlo Pisacane, Carla Gravina, Nino Marchetti, Elena Fabrizi, Mario Feliciani, Mimmo Poli, Mario De Simone, Gustavo Serena]","[Piero Umiliani, Agenore Incrocci, Agenore Incrocci, Furio Scarpelli, Furio Scarpelli, Suso Cecchi d'Amico]","[Comedy, Crime]"
Hotarubi no Mori e,2011-09-17,"[Ayane Sakura, Kouki Uchiyama]","[Takahiro Omori, Yukihiro Shibutani, Takahiro Omori]","[Romance, Animation, Fantasy]"
Louis C.K.: Live at the Beacon Theater,2011-12-10,[Louis C.K.],"[Louis C.K., Louis C.K., Louis C.K., Louis C.K.]",[Comedy]
The Lord of the Rings: The Fellowship of the Ring,2001-12-18,"[Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Orlando Bloom, John Rhys-Davies, Sean Bean, Cate Blanchett, Hugo Weaving, Liv Tyler, Christopher Lee, Billy Boyd, Dominic Monaghan, Andy Serkis, Ian Holm, Craig Parker, Lawrence Makoare, Sala Baker, Sarah McLeod, Marton Csokas]","[Peter Jackson, Peter Jackson, Barrie M. Osborne, Bob Weinstein, Harvey Weinstein, Saul Zaentz, Mark Ordesky, Michael Lynne, J.R.R. Tolkien, Peter Jackson, Fran Walsh, Philippa Boyens, Howard Shore, Andrew Lesnie, Grant Major, John Gilbert, Philip Ivey]","[Adventure, Fantasy, Action]"
A Dog's Will,2000-09-10,"[Matheus Nachtergaele, Selton Mello, Lima Duarte, Rogério Cardoso, Diogo Vilela, Luís Melo, Virginia Cavendish, Bruno Garcia, Fernanda Montenegro, Marco Nanini]","[Guel Arraes, Guel Arraes]","[Adventure, Comedy]"
Interstellar,2014-11-05,"[Matthew McConaughey, Jessica Chastain, Anne Hathaway, Michael Caine, Casey Affleck, Mackenzie Foy, Timothée Chalamet, Bill Irwin, Matt Damon, Ellen Burstyn, John Lithgow, Wes Bentley, Topher Grace, David Oyelowo, David Gyasi, William Devane, Josh Stewart, Collette Wolfe, Leah Cairns, Russ Fega]","[David F. Klassen, Eric Sundahl, Christopher Nolan, Lynda Obst, Christopher Nolan, Hans Zimmer, Jonathan Nolan, Christopher Nolan, Nathan Crowley, Mary Zophres, Emma Thomas, Gary Fettis]","[Adventure, Drama, Science Fiction]"
The Usual Suspects,1995-07-19,"[Stephen Baldwin, Gabriel Byrne, Chazz Palminteri, Kevin Pollak, Pete Postlethwaite, Kevin Spacey, Suzy Amis, Giancarlo Esposito, Benicio del Toro, Dan Hedaya, Paul Bartel, Christine Estabrook, Clark Gregg, Morgan Hunter, Louis Lombardi, Frank Medrano]","[Bryan Singer, Bryan Singer, Michael McDonnell, Robert Jones, Newton Thomas Sigel, John Ottman, Francine Maisler, Howard Cummings, David Lazan, Sara Andrews, Louise Mingenbach, Vicky Herman, John Ottman, Kenneth Kokin, Christopher McQuarrie, Geoffrey Patterson]","[Drama, Crime, Thriller]"
