name,gender
Edward Binns,m
Leah Cairns,f
Eijirō Tōno,m
Liv Tyler,f
John Sessions,m
Brigitte Fossey,f
Russ Fega,m
Chris O'Dowd,m
Mandira Bedi,f
Teddy Reno,m
Helen McCrory,f
Thelma Ritter,f
Marius Goring,m
Quentin Tarantino,m
Robert Sean Leonard,m
Kajol,f
Bruno Garcia,m
Joe Pingue,m
Marianna Hill,f
Francis Compton,m
Pupella Maggio,f
Masami Nagasawa,f
Friedrich von Thun,m
David Morse,m
Tom McCamus,m
Yoshio Tsuchiya,m
Judith Evelyn,f
Chin Han,m
Frank Senger,m
Frank Sivero,m
Henry Daniell,m
James Donnelly,m
Michael Leader,m
James Woods,m
Maurice Moscovitch,m
Sean Astin,m
Gastone Moschin,m
Jessica Chastain,f
Bernard Hill,m
Henry Jones,m
Wes Bentley,m
Ryunosuke Kamiki,m
Frank Cady,m
Phil Brown,m
Carrie Fisher,f
Bruce Willis,m
Tom Hardy,m
Tetsurō Tamba,m
Franklyn Farnum,m
Miguel Ángel Silvestre,m
Louis C.K.,m
Cristen Kauffman,f
Tina Desai,f
Peter Cushing,m
Totò,m
Natalie Portman,f
Clancy Brown,m
Thiago Martins,m
Jack Oakie,m
William Devane,m
Ayano Shiraishi,f
Toby Onwumere,m
Amira Casar,f
Larry Brandenburg,m
Holly Earl,f
Dominic Monaghan,m
Mitsuko Mito,f
Peter Capell,m
Dileep Rao,m
Takehiko Ono,m
Lionel Stander,m
Peggy Lipton,f
Patricia Clarkson,f
Bryce Gheisar,m
Tuesday Weld,f
Justin Mader,m
Peter Greene,m
Haley Joel Osment,m
R. Lee Ermey,m
Michal Zebrowski,m
Ian McKellen,m
John Cassini,m
David Selvas,m
Morgan Freeman,m
Paul Norell,m
Vera Miles,f
Amanda Warren,f
Ken Yasuda,m
Michael Caine,m
Thomas Kretschmann,m
Sean Bridgers,m
Wilfred Lucas,m
Achala Sachdev,f
Quentin Tarantino,m
Kerry Condon,f
Marina Massironi,f
Ron Dean,m
Louis Lombardi,m
Harvey Keitel,m
Makiko Watanabe,f
Murdock MacQuarrie,m
Craig Parker,m
E.G. Marshall,m
Lee Van Cleef,m
Patrick Huard,m
Kasi Lemmons,f
Huguette Gervais,f
Sakura Ando,f
Philippe Noiret,m
Talia Shire,f
Jean Minisini,m
Alfred Hitchcock,m
Philippe Noiret,m
Joan Chen,f
Alec Guinness,m
Mugihito,m
John Hawkes,m
Paul Bartel,m
Melissa Benoist,f
Miranda Otto,f
Dabbs Greer,m
Talia Shire,f
Richard Farnsworth,m
Sabrina Bisson,f
Eli Wallach,m
Mario De Simone,m
Peter Spears,m
Miles Teller,m
James Tolkan,m
Harvey Keitel,m
Sayaka Ohara,f
Anthony Michael Hall,m
Chuck Low,m
Everett McGill,m
Sala Baker,m
Giuseppe Andrews,m
Robert De Niro,m
Tracey Walter,m
William Sadler,m
Louise Fletcher,f
Hank Mann,m
Gero Camilo,m
John Lithgow,m
Rudy Bond,m
Sean Bean,m
Yoshiko Shinohara,f
Bernard Blier,m
Morgana King,f
Moira Shearer,f
Embeth Davidtz,f
Paul McCrane,m
Eddie Baker,m
Jorja Fox,f
Richard Anderson,m
Clark Gregg,m
Beverly D'Angelo,f
Gary Sinise,m
Grace Kelly,f
Itsuji Itao,m
Darlan Cunha,m
Hugo Weaving,m
Audrey Fleurot,f
Cate Blanchett,f
Bruno Kirby,m
Johnathan Geare,m
Marjorie Eaton,f
Gabriele Ferzetti,m
Michael Ontkean,m
Jenna Coleman,f
Christopher Lee,m
Gil Bellows,m
Carl Ciarfalio,m
Ward Crane,m
Seiji Miyaguchi,m
Toshirō Mifune,m
Collette Wolfe,f
Jack Fulton,m
Carl J. Matusovich,m
Timothée Chalamet,m
Joseph Gordon-Levitt,m
Garrick Hagon,m
Margo Moorer,f
Livio Lorenzon,m
Millie Davis,f
Danny Lloyd,m
Shelagh Fraser,f
Jerry Verno,m
James B. Harris,m
Miyu Irino,m
Nino Marchetti,m
Janet Leigh,f
Dylan Kussman,m
Oreste Baldini,m
Christopher Eccleston,m
Louis C.K.,m
Talulah Riley,f
Hikari Mitsushima,f
Sonny Shroyer,m
Akira Ishida,m
Wendell Corey,m
Frances Lee McCain,f
Joe Keaton,m
Konstantin Shayne,m
Danny Aiello,m
Maria de Medeiros,f
Paul Weigel,m
Callum Keith Rennie,m
